date,type,era,title_kr,title_en,link
2026-02-16,woobin,solo,한국 입국,Return to Korea from Thailand,
2025-11-17,woobin,solo,태국 출국 (방콕),Departure to Thailand (Bangkok),
2025-11-15,woobin,solo,우빈 솔로 데뷔 ,WOOBIN Solo Debut,
2025-11-15,showcase,solo,우빈 첫 솔로 데뷔 쇼케이스 ‘싫더라’ 개최,WOOBIN 1st Solo Debut Showcase '싫더라',https://hellolive.tv/ko/detail/887
2025-11-15,woobin,solo,우빈(WOOBIN) - 싫더라 MV 공개,WOOBIN(우빈) - 싫더라 MV Release,https://www.youtube.com/watch?v=bvhLk0Hiu3A
2025-11-15,woobin,solo,내츄럴리뮤직 개인 보이스콜 이벤트,Naturally Music Individual Voice Call Event,http://www.naturallymusic.co.kr/shop/shopdetail.html?branduid=12302859&xcode=037&mcode=002&scode=&type=X&sort=regdate&cur_code=037&search=&GfDT=a2p3UFk%3D
2025-11-15,woobin,solo,내츄럴리뮤직 개인 영상통화 이벤트,Naturally Music Individual Video Call Event,http://www.naturallymusic.co.kr/shop/shopdetail.html?branduid=12302858&xcode=037&mcode=002&scode=&type=X&sort=regdate&cur_code=037&search=&GfDT=bmd3UFo%3D
2025-11-15,woobin,solo,내츄럴리뮤직 대면 팬싸인회 이벤트,Naturally Music Face-to-face Fansign Event ,http://www.naturallymusic.co.kr/shop/shopdetail.html?branduid=12302857&xcode=037&mcode=002&scode=&type=X&sort=regdate&cur_code=037&search=&GfDT=bmp0W11D
2025-11-15,woobin,solo,1st Single Album '싫더라' 발매,1st Single Album '싫더라' Release,http://www.naturallymusic.co.kr/shop/shopdetail.html?branduid=12303100&search=&xcode=036&mcode=002&scode=&special=1&GfDT=bm51W14%3D
2025-11-14,woobin,solo,hellolive 비디오콜이벤트,hellolive Video Call Event,https://hellolive.tv/ko/detail/887
2025-04-01,anniversary,solo,우빈 생일날,WOOBIN Birthday,
2025-09-09,anniversary,luminous,루미너스 데뷔 4주년,LUMINOUS 4th Year Anniversary,
2022-06-20,luminous,luminous,루미너스 공식 팬덤명 발표 - '루미니',LUMINOUS Official Fandom Name Announcement - 'Lumini',https://www.youtube.com/watch?v=KAevW06KaKE
2025-06-20,anniversary,luminous,루미니 3주년,LUMINI 3rd Year Anniversary,
2024-06-20,anniversary,luminous,루미니 2주년,LUMINI 2nd Year Anniversary,
2023-06-20,anniversary,luminous,루미니 1주년,LUMINI 1st Year Anniversary,https://www.youtube.com/live/AFuSVnvWCFg?si=8jKrZvNleerhG4Hj
2024-09-09,anniversary,luminous,루미너스 데뷔 3주년,LUMINOUS 3rd Year Anniversary,https://www.youtube.com/watch?v=4qelfIox--8
2023-09-09,anniversary,luminous,루미너스 데뷔 2주년,LUMINOUS 2nd Year Anniversary,https://www.youtube.com/live/Ph6G67o38kU?si=znwoW4yXE6DLs8ma
2022-09-09,anniversary,luminous,루미너스 데뷔 1주년,LUMINOUS 1st Year Anniversary,
2021-09-09,luminous,luminous,루미너스 데뷔,LUMINOUS Debut,
2024-04-01,anniversary,solo,우빈 생일날,WOOBIN Birthday,
2023-04-01,anniversary,solo,우빈 생일날,WOOBIN Birthday,
2023-04-01,woobin,solo,#찬란한_봄의_시작_정우빈_생일파티,WOOBIN Birthday Live,https://www.youtube.com/watch?v=6BnAmMcDsnE
2021-09-09,luminous,luminous,루미너스(LUMINOUS) 'RUN' MV 공개,루미너스(LUMINOUS) 'RUN' MV Release,https://youtu.be/Y7kTjHt7SmI?si=BQrmMxOjA8YTcRyp
2022-12-27,concert,luminous,LUMINOUS WINTER PARTY 개최,LUMINOUS WINTER PARTY,
2022-12-23,woobin,solo,WINTER PARTY 영상 초대장 공개,WINTER PARTY Video Invitation Release,https://x.com/MubeatOfficial/status/1606243231414603778?s=20
2022-06-10,woobin,solo,Versace on the Floor (Bruno Mars)' Cover 영상 공개,Versace on the Floor (Bruno Mars)' Cover Video Release,https://www.youtube.com/watch?v=NOWF7vmAtlk
2021-11-19,woobin,solo,뮤빗라이브  'Someone like you' 무대 공개,MuBeat Live 'Someone Like You' Stage,https://www.youtube.com/watch?v=stF6xQDE1NE
2021-11-19,woobin,solo,뮤빗라이브  'Someone like you' Fancam 공개,MuBeat Live 'Someone Like You' Fancam,https://www.youtube.com/watch?v=9F3lCeUpCTE
2021-10-29,woobin,solo,여행(Orbit) Mini Fan Concert Live Clip 공개,Orbit' Mini Fan Concert Live Clip,https://www.youtube.com/watch?v=Q8pkQe6IPZM
2020-01-20,woobin,solo, 'Introduction Film' / Teaser Clip #2 공개, 'Introduction Film' / Teaser Clip #2,https://www.youtube.com/watch?v=0M6p-YffAOY
2022-08-10,woobin,solo,루미너스 1st Full Album 'LUMINOUS in WONDERLAND' 컨셉 트레일러 공개 (우빈),"LUMINOUS 1st Full Album
[LUMINOUS in WONDERLAND] CONCEPT TRAILER WONDERLAND ver. (WOOBIN)",https://www.youtube.com/watch?v=C1pjXH5aYwU
2025-02-21,woobin,solo,첫 틱톡 방송,First TikTok Live,
2022-11-10,woobin,solo,천체망원경 (Prod. CyA)' 작사 및 작곡 참여,Participated in Lyrics and Composition for '천체망원경 (Prod. CyA)',https://on.soundcloud.com/2OiDLfLsP1bjR7PAmv
2022-10-14,woobin,solo,Plan B (Prod. N soul)' 작사 및 작곡 참여,Participated in Lyrics and Composition for 'Plan B (Prod. N soul)',https://on.soundcloud.com/PeOrZTdsDkqh6guNvW
2021-07-09,woobin,solo,아무것도 없었다는 듯이 Remix' 작사 및 작곡 참여,Participated in Lyrics and Composition for '아무것도 없었다는 듯이 Remix',https://on.soundcloud.com/eYnBHVomdtitiWycFj
2021-05-04,woobin,solo,지박령 (Feat. WOOBIN of LUMINOUS)' 작사 및 작곡 참여,Participated in Lyrics and Composition for '지박령',https://on.soundcloud.com/2dA0zUSHXUhBJUDjWr
